ID;Nome;Profissão;Horas semanais;Plantões noturnos;Folgas (Últimos 7 dias);SP_GESTOR;Nome_Municipio;Prontidao (%);Status
1;Beatriz Alves (Ges);Médico Clínico Geral;12;3;0;350000;Gestão Estadual (SP);52.0;🟡 Atenção
2;Gabriel Martins (Ges);Técnica de Enfermagem;44;0;0;350000;Gestão Estadual (SP);34.0;🔴 Crítico
3;Beatriz Alves (Ges);Enfermeiro;30;2;1;350000;Gestão Estadual (SP);40.0;🔴 Crítico
4;Juliana Rocha (Ges);Enfermeira Coordenadora;36;2;1;350000;Gestão Estadual (SP);31.0;🔴 Crítico
5;Camila Santos (Ges);Técnica de Enfermagem;40;0;1;350000;Gestão Estadual (SP);45.0;🔴 Crítico
6;Lucas Mendes (Ges);Enfermeiro;30;2;0;350000;Gestão Estadual (SP);35.0;🔴 Crítico
7;Rafael Ribeiro (Ges);Enfermeira Coordenadora;24;0;1;350000;Gestão Estadual (SP);69.0;🟡 Atenção
8;Camila Santos (Ges);Médico Clínico Geral;16;0;1;350000;Gestão Estadual (SP);81.0;🟢 Apto
9;Beatriz Alves (Ges);Enfermeiro;16;2;1;350000;Gestão Estadual (SP);61.0;🟡 Atenção
10;Ana Silva (Ges);Médico Clínico Geral;40;2;2;350000;Gestão Estadual (SP);30.0;🔴 Crítico
11;Ana Silva (São);Enfermeiro;24;3;1;355030;São Paulo;39.0;🔴 Crítico
12;Carlos Souza (São);Médico Intensivista;24;1;2;355030;São Paulo;64.0;🟡 Atenção
13;Mariana Lima (São);Enfermeiro;40;0;2;355030;São Paulo;50.0;🟡 Atenção
14;Camila Santos (São);Técnica de Enfermagem;36;2;0;355030;São Paulo;26.0;🔴 Crítico
15;Camila Santos (São);Enfermeira Coordenadora;40;0;1;355030;São Paulo;45.0;🔴 Crítico
16;Camila Santos (São);Enfermeira Coordenadora;24;3;0;355030;São Paulo;34.0;🔴 Crítico
17;Camila Santos (São);Médico Clínico Geral;12;1;1;355030;São Paulo;77.0;🟢 Apto
18;Carlos Souza (São);Técnica de Enfermagem;36;2;2;355030;São Paulo;36.0;🔴 Crítico
19;Beatriz Alves (São);Médico Intensivista;44;1;2;354990;São José dos Campos;34.0;🔴 Crítico
20;Beatriz Alves (São);Enfermeiro;16;1;0;354990;São José dos Campos;66.0;🟡 Atenção
21;Mariana Lima (São);Médico Intensivista;12;1;0;354870;São Bernardo do Campo;72.0;🟢 Apto
22;Gabriel Martins (São);Enfermeira Coordenadora;24;3;1;354870;São Bernardo do Campo;39.0;🔴 Crítico
23;Lucas Mendes (Cam);Enfermeira Coordenadora;36;0;0;350950;Campinas;46.0;🔴 Crítico
24;Camila Santos (Cam);Enfermeiro;30;0;2;350950;Campinas;65.0;🟡 Atenção
25;Beatriz Alves (San);Médico Intensivista;24;0;0;354780;Santo André;64.0;🟡 Atenção
26;Lucas Mendes (San);Técnica de Enfermagem;30;2;2;354780;Santo André;45.0;🔴 Crítico
27;Rafael Ribeiro (Gua);Médico Clínico Geral;44;0;2;351880;Guarulhos;44.0;🔴 Crítico
28;Rafael Ribeiro (Gua);Médico Intensivista;24;2;2;351880;Guarulhos;54.0;🟡 Atenção
